category,sub_category,description
greeting, Hello, Hi monkey!
conversation, greeting, Welcome to the Ocean Vista Hotel in Malibu! We are delighted to have you here. Our staff is dedicated to making your stay as enjoyable as possible. Please ask me any questions you may have regarding Ocean Vista.
conversation, how are you, I am doing great and I hope you are as well! How can I assist you today?
rooms,suite,Our luxury suites feature ocean views you can experience from your own private balcony o king-size bed. We have 50 suites available occupying the Malibu location.
rooms,standard,Our comfortable standard rooms include have all that you need to enjoy your stay in Malibu. There are currently 200 standard rooms in total at the Malibu location.
rooms,deluxe,Our spacious deluxe rooms offers beautiful ocean views with extra amenities to make your stay even more perfect. We currently have 150 deluxe rooms available at the Malibu location.
rooms,accessible,We offer 25 fully wheelchair accessible rooms designed to accommodate guests with mobility needs. They all include roll-in showers and other ADA-compliant features.
amenities,wifi,Complimentary high-speed WiFi is available throughout the hotel property and in all guest rooms.
amenities,parking,Self-parking is available for $25 per night. Valet parking is available for $35 per night.
amenities,fitness,Our 24-hour fitness center features state-of-the-art equipment including free weights and cardio machines. Personal training sessions can be arranged through the concierge.
amenities,business,Our business center offers computers and printing services. Through the concierge you are also able to reserve a private meeting spaces available.
amenities,spa,The Ocean Vista Spa offers full massages and other services at our fully staffed salon boutique. Open daily from 9AM to 7PM. Reservations recommended.
pool,hours,The main pool is open from 8AM to 8PM daily with lifeguard on duty. Seasonal hours may vary.
pool,towels,Pool towels are complimentary and available at the pool gate. Please return used towels to the designated bins.
pool,size,Our main pool measures 50ft x 35ft with depths ranging from 3ft to 12ft.
pool,kiddie,A separate kiddie pool for children is located adjacent to the main pool. The depth is 1.5ft.
pool,jacuzzi,Our heated jacuzzi accommodates up to 12 people and is open from 8AM to 10PM daily.
dining,oceanview,Our signature restaurant "Ocean View" serves California coastal cuisine with stunning views. Open for all three meals of the day.
dining,lounge,The Sunset Lounge offers various seaside themed cocktails including all your essentials. Live bands play music on weekends after 7pm - 3pm.
dining,cafe,The Beach side Cafe serves Coffee and pastries from 6AM to 2PM daily.
dining,roomservice,Room service is available from 6AM to 11PM daily. See the menu in your room for options.
dining,breakfast,Breakfast is served from 6:30AM to 10:30AM daily in the Ocean View restaurant. Continental breakfast is included and a full buffet is available for $30 per person every night. Any room service meals can be also be purchased via your reservation.
beach,access,The hotel has direct beach access via a private path. The walk to the sand is approximately 2 minutes.
beach,equipment,Beach equipment is all included such as chairs/umbrellas/towels for guests at no additional charge.
beach,activities,We offer beach volleyball games throughout the day. Snorkeling tours by local reefs start at 12pm. All Paddleboards/Surfboards/floaties are available for rent during the day. Surfing leesson can also be arranged through our concierge.
transportation,airport,LAX is approximately 45 minutes away. We offer airport shuttle service for $60 each way(reservation required).
transportation,local,Our complimentary shuttle services is offered for deluxe members or for a daily fee of $45/day or one time pay of $120 for your entire stay. We provide transportation services to destinations within a all the way down PCH to the greater LA area based on availability starting at 7am with the last return bus call is at 11pm.
transportation,car, Various car rentals can be arranged at the front desk in our lobby. Open daily from 8AM to 6PM. Varieties include sports/family/luxury cars.
events,wedding,Our oceanfront pavilion can accommodate weddings of up to 150 guests. Contact our events team for packages.
events,corporate,We offer 5 meeting rooms ranging from 500 to 2000 square feet including with full AV capabilities.
events,catering,Our catering team provides customized menus for all events. Minimum 72 hours notice required.
checkout,time,Standard checkout time is 11AM. Late checkout until 1PM is available upon request(subject to availability).
checkout,express,Express checkout is available by dropping your key card in the express box at the front desk or through our mobile app.
checkout,luggage,Complimentary luggage storage is available if you wish to enjoy the property after checking out.
checkin,time,Standard check-in time is 3PM. Early check-in is subject to availability.
checkin,requirements,Please present a valid ID and credit card upon check-in. The card holder must be present.
checkin,mobile,Mobile check-in is available through our app 24 hours before arrival.
pets,policy,We welcome pets under 40 pounds. A $75 non-refundable pet fee applies per stay by request arrangements prior either via email or over the phone.
pets,amenities, Pet appliances such bowls/bags/treats are available upon request for rooms.
activities,local,Surfing or ocean kayaking lessons are available at the beach front right outside the hotel. Our concierge can arrange lessons for all skill levels. Additionally you can take a ride up to Paradise Cove is another popular local beach spot for swimming and sunbathing.
activities,downtown,Explore the Galleria shopping center in downtown Los Angeles. There is also the famous Hollywood walk of fame. Or check out Santa Monica pier and ride the roller coaster right above the ocean waves.
activities,hiking,The Santa Monica Mountains offer beautiful hiking trails with ocean views. Trail maps available at the concierge desk.
activities,biking,Rent bicycles from our activity center to explore the Malibu coastline. $25 for 2 hours and $40 for a full day.
activities,yoga,Complimentary beach yoga is offered daily at 7AM. Meet in the lobby 15 minutes before class.
activities,wine,Malibu Wine Safari offers tours of local vineyards and wine tasting experiences. Our concierge can arrange reservations.
attractions,getty,The Getty Villa is located 15 minutes from the hotel and features Greek and Roman antiquities. Free admission (reservation required).
attractions,pier,The historic Malibu Pier is a 10-minute drive from the hotel.
attractions,garden,The Malibu Botanical Gardens showcase native California plants and are located 5 miles from the hotel.
attractions,celebrity,Many celebrity homes are located here in LA especially Malibu. Please however respect their private property and local regulations.
shopping,cross,The Malibu Country Mart and Malibu Lumber Yard offer upscale shopping experiences just 10 minutes from the hotel.
shopping,farmers,The Malibu Farmers Market is held every Sunday from 10AM to 3PM. There you can find fresh locally sourced produce and artisanal goods.
food,local,Nobu Malibu offers high-quality Japanese cuisine with ocean views. You can also find good grub at Neptune's Net for great quality and locally sourced seafood. Or check out the state famous In-N-Out Burger is available for quick meals.
food,seafood,Malibu Seafood Fresh Fish Market & Patio Cafe serves fresh-caught seafood in a casual setting with ocean views.
food,vegetarian,The Real Coconut Kitchen offers plant-based and gluten-free options just 5 minutes from the hotel.
food,taste, The local food you can find are alot of hispanic influenced baja style cuisine along with your typical American burgers and fries and of course fresh seafood sourced from the Pacific Ocean.
